Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	Green Wool	Lining	silentgear:wool/green	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	White Wool	Lining	silentgear:wool/white	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Brown Wool	Lining	silentgear:wool/brown	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Phantom Membrane	Lining	silentgear:phantom_membrane		Organic, Cloth, Intermediate		Light II*, Flexible III																							
null	Black Wool	Lining	silentgear:wool/black	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Example	Lining	silentgear:example		Intangible																									
null	Cyan Wool	Lining	silentgear:wool/cyan	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Bamboo	Main	silentgear:bamboo		Basic, Organic, Wood		Flammable, Flexible II	65	9x		25%	15	0.7	4	bamboo (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Gold	Main	silentgear:gold		Intermediate, Metal		Brilliant*, Malleable I, Soft III*	32	7x			22	1.2	50	gold (1)	12		0	0		4	0x	0.3x	1.1x	100%	11			8	
null	Sandstone	Main	silentgear:sandstone		Basic, Rock			117	6x		-10%	7	0.7	7	sandstone (1)	4		1	0.1			0x	-0.1x	1x	80%	5				
null	Lead	Main	silentgear:lead		Intermediate, Metal		Malleable II, Aquatic II*	260	14x			15	0.8	40	iron (2)	4		2	-0.4		2	1x	-0.3x			13			4	
null	Redstone	Main	silentgear:redstone		Intermediate, Dust, Metal	Yes	Imperial III*					-10%	+10%	30		12		4				2x								
null	Lapis Lazuli	Main	silentgear:lapis_lazuli		Gem, Intermediate			200	13x			17	1.3	30	lapis_lazuli (1.5)	5		2	0		3	0x	-0.1x	1x	80%	15			10	
null	Osmium	Main	silentgear:osmium		Intermediate, Metal		Malleable II	500	30x			12	1.1	35	iron (2)	10		4	0.1		2	1x	0x			17			4	
null	Quartz	Main	silentgear:quartz		Gem, Intermediate		Crushing III, Jagged II*	330	13x			10	1.2	40	quartz (2)	7		2	0.1			0x	0.1x	1x	100%	14			4	
null	Shulker Shell	Main	silentgear:crushed_shulker_shell		Endgame, Dust, Rock	Yes	Eroded IV*	2500	50x			10	-0.15	91																
null	Paper	Main	silentgear:paper		Basic, Organic, Sheet		Flammable, Rustic III	0	2x			11	1	3												4				
null	Pink Wool	Main	silentgear:wool/pink	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Unknown Sheet Metal	Main	silentgear:sheet_metal		Sheet			x0	x0.6																	x0.5	x0.5			
null	Refined Iron	Main	silentgear:refined_iron		Intermediate, Metal		Malleable IV, Stellar I	512	20x		-15%	15	0.8	25	iron (2)	7		3	0		2	2x	0x			18	2		6	
null	Yellow Terracotta	Main	silentgear:terracotta/yellow	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Warped Wood	Main	silentgear:wood/warped	Wooden	Organic, Wood		Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Dimerald	Main	silentgear:dimerald		Advanced, Gem		Brittle I, Gold Digger II*	1776	36x			12	0.7	80	dimerald (3)	9		3	0.1		3	3x	0.1x	1x	120%	22	10		10	
null	Magenta Wool	Main	silentgear:wool/magenta	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Leather	Main	silentgear:leather		Basic, Organic, Cloth		Snow Walker*	0	5x			15	0.8	11												7			8	
null	Crimson Wood	Main	silentgear:wood/crimson	Wooden	Organic, Wood		Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Acacia Wood	Main	silentgear:wood/acacia	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Light Gray Wool	Main	silentgear:wool/light_gray	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Basalt	Main	silentgear:basalt		Basic, Rock		Brittle II, Chipping III	137	4x			6	0.7	7	basalt (1)	4		1	0			0x	-0.1x	1x	80%	6				
null	Cyan Terracotta	Main	silentgear:terracotta/cyan	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Light Blue Wool	Main	silentgear:wool/light_blue	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Blackstone	Main	silentgear:blackstone		Basic, Rock		Brittle I, Jagged II*, Hard II*	151	5x			4	0.6	9	blackstone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Steel	Main	silentgear:steel		Intermediate, Metal		Malleable V	500	20x		15%	11	0.8	40	iron (2)	6		4	-0.2		1	2x	-0.2x			20	2		6	
null	Blue Wool	Main	silentgear:wool/blue	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Obsidian	Main	silentgear:obsidian		Advanced, Rock		Jagged III*, Crushing II	1024	13x		-25%	7	0.6	10	obsidian (1)	6		3	-0.4		2	0x	-0.4x	0.7x	70%	20	4		8	
null	Purple Terracotta	Main	silentgear:terracotta/purple	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Gray Wool	Main	silentgear:wool/gray	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Amethyst	Main	silentgear:amethyst		Gem, Intermediate		Renew I*	210	10x			16	1.3	35	amethyst (1.5)	6		1	0		3	1x	0x	1x	100%	15			10	
null	Orange Terracotta	Main	silentgear:terracotta/orange	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Azure Electrum	Main	silentgear:azure_electrum		Endgame, Metal		Malleable III, Accelerate III*, Light IV*	1259	61x		50%	37	1.5	109	azure_electrum (4)	29		7	0		11	3x	0x	2x	150%	19	8		19	
null	Platinum	Main	silentgear:platinum		Advanced, Metal		Malleable III, Soft II*	900	21x			14	1.2	80	diamond (3)	12		4	0		4	1x	0x			18	2		12	
null	Wooden	Main	silentgear:wood		Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Feather	Main	silentgear:feather		Basic, Organic		trait.silentgear.flutter I	0	2x			9	1.1	1												3				
null	Wool	Main	silentgear:wool		Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Purple Wool	Main	silentgear:wool/purple	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Glowstone	Main	silentgear:glowstone		Gem, Intermediate, Dust	Yes	Renew III						+15%	40		15		3	0.4			3x								
null	Stone	Main	silentgear:stone		Basic, Rock		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Tyrian Steel	Main	silentgear:tyrian_steel		Endgame, Metal		Sturdy III*, Void Ward*	3652	81x			16	1.1	100	tyrian_steel (4)	18		8	0		6	4x	0x	1.1x	110%	25	12		12	
null	Oak Wood	Main	silentgear:wood/oak	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Lumium	Main	silentgear:lumium		Advanced, Metal		Malleable III, Refractive*	920	20x		15%	14	1.3	75	diamond (3)	15		4	0.2		3	2x	0x			18	4		10	
null	Netherwood	Main	silentgear:netherwood	Wooden	Organic, Wood		Flexible III, Jagged II*	72	12x	50%	10%	13	0.7	4	netherwood (0)	2		0	0.2			0x	0x	1x	80%	8			6	
null	Gray Terracotta	Main	silentgear:terracotta/gray	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Bismuth	Main	silentgear:bismuth		Intermediate, Metal		Malleable II, Lustrous II*	330	10x			12	0.9	35	iron (2)	5		2.5	0.1		3.5	1x	0x			16	2		6	
null	Brown Terracotta	Main	silentgear:terracotta/brown	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Enderium	Main	silentgear:enderium		Endgame, Metal		Malleable III	1200	34x		15%	13	1.2	80	netherite (4)	18		6	0		4	3x	0x			22	8		10	
null	Blue Terracotta	Main	silentgear:terracotta/blue	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Red Wool	Main	silentgear:wool/red	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Pink Terracotta	Main	silentgear:terracotta/pink	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Titanium	Main	silentgear:titanium		Endgame, Metal		Malleable II, Hard IV*	1600	37x			12	1	80	netherite (4)	8		6	0		1	1x	-0.2x			24	8		4	
null	Crimson Iron	Main	silentgear:crimson_iron		Advanced, Metal		Malleable III, Hard II*, Heat-Resistant IV*	420	27x		50%	14	0.7	31	crimson_iron (3)	10		3	-0.1		3	2x	-0.1x	1x	110%	18	2		6	
null	Green Terracotta	Main	silentgear:terracotta/green	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Netherrack	Main	silentgear:netherrack		Basic, Organic, Rock		Eroded III*, Flexible II	142	5x		-20%	8	0.8	11	netherrack (1)	5		0.5	0		0.5	0.5x	0.1x	0.8x	100%	8			4	
null	Spruce Wood	Main	silentgear:wood/spruce	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	White Terracotta	Main	silentgear:terracotta/white	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Diamond	Main	silentgear:diamond		Advanced, Gem		Brittle II, Lustrous I*	1561	33x			10	0.8	70	diamond (3)	8		3	0		1	2x	-0.2x	0.9x	110%	20	8		4	
null	Uranium	Main	silentgear:uranium		Advanced, Metal		Malleable II	800	20x		-15%	17	1.5	50	diamond (3)	6		2	0.1		2	0.5x	0.1x			13	1		3	
null	High-Carbon Steel	Main	silentgear:high_carbon_steel		Advanced, Metal		Malleable III	420	24x		5%	11	0.8	40	high_carbon_steel (2)	6		4	-0.2		1	2x	-0.2x			20	2		6	
null	Aluminum	Main	silentgear:aluminum		Intermediate, Metal		Malleable III, Soft II*, Synergistic I	365	15x			14	0.9	25	iron (2)	8		2	0.2		2	2x	0.2x			14	0.5		3	
null	Compressed Iron	Main	silentgear:compressed_iron		Advanced, Metal		Malleable II, Hard III*	1024	24x		-15%	12	0.8	40	diamond (3)	9		4	-0.2		1	3x	0x			20	2		4	
null	Fine Silk Cloth	Main	silentgear:fine_silk_cloth		Organic, Cloth, Intermediate		Snow Walker*	0	14x			14	0.9	40												6			14	
null	Terracotta	Main	silentgear:terracotta		Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Light Blue Terracotta	Main	silentgear:terracotta/light_blue	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Nickel	Main	silentgear:nickel		Intermediate, Metal		Malleable III, Adamant I*	380	17x			12	1	40	iron (2)	7		2.5	0.1		1	0.5x	0.1x			13			6	
null	Red Terracotta	Main	silentgear:terracotta/red	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Refined Obsidian	Main	silentgear:refined_obsidian		Endgame, Metal		Malleable III, Hard IV*	2500	50x		-30%	40	0.8	70	diamond (3)	20		10	0.3		4	4x	0.2x			30	16		6	
null	Bismuth Brass	Main	silentgear:bismuth_brass		Intermediate, Metal		Malleable II, Lustrous II*	580	15x		15%	14	1.1	50	iron (2)	9		3	0.1		2	2x	0.2x			18	2		8	
null	Light Gray Terracotta	Main	silentgear:terracotta/light_gray	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Bone	Main	silentgear:bone		Basic, Organic		Chipping II	108	4x			5	0.9	8	bone (1)	4		2	0.1		1	1x	0x	0.9x	100%	5			1	
null	Iron	Main	silentgear:iron		Intermediate, Metal		Malleable III	250	15x			14	0.7	20	iron (2)	6		2	0		1	1x	0.1x	1x	110%	15			6	
null	Crimson Steel	Main	silentgear:crimson_steel		Endgame, Metal		Malleable V, Hard III*, Flame Ward*	2400	42x		50%	19	0.9	83	crimson_steel (4)	15		6	-0.1		6	3x	-0.1x	1x	130%	22	10		10	
null	Birch Wood	Main	silentgear:wood/birch	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Flint	Main	silentgear:flint		Basic, Rock		Jagged III*	124	4x			3	0.8	6	flint (1)	5		2	-0.1			1x	-0.3x	1x	100%	4				
null	Red Sandstone	Main	silentgear:sandstone/red	Sandstone	Basic, Rock			117	6x		-10%	7	0.7	7	sandstone (1)	4		1	0.1			0x	-0.1x	1x	80%	5				
null	Dark Oak Wood	Main	silentgear:wood/dark_oak	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Aluminum Steel	Main	silentgear:aluminum_steel		Advanced, Metal		Malleable IV, Synergistic II*	660	18x		-15%	11	1	45	diamond (3)	8		4	0.1		1.5	2x	0x			18	2		6	
null	Barrier	Main	silentgear:barrier		Intangible		Adamant V, Holy V*	1337	84x		-100%	5	0.5	111	wood (0)	5		1	0		1	1x	0x			20	10		10	
null	Jungle Wood	Main	silentgear:wood/jungle	Wooden	Organic, Wood		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Orange Wool	Main	silentgear:wool/orange	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Emerald	Main	silentgear:emerald		Advanced, Gem		Brittle I, Synergistic II	1080	24x		25%	16	1	40	emerald (2)	10		2	0		2	1x	-0.1x	1.1x	90%	16	4		6	
null	Brass	Main	silentgear:brass		Intermediate, Metal		Malleable II, Silky*	240	8x		15%	13	1.2	25	iron (2)	7		1.5	0.1		1.5	2x	0.2x			14	1		6	
null	Silver	Main	silentgear:silver		Intermediate, Metal		Malleable II, Soft I*	64	9x			20	1.1	40	gold (1)	11		0	0.2		4	0x	0.3x			11			10	
null	Lime Wool	Main	silentgear:wool/lime	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Yellow Wool	Main	silentgear:wool/yellow	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Green Wool	Main	silentgear:wool/green	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Bronze	Main	silentgear:bronze		Intermediate, Metal		Sharp I*	300	13x		15%	12	1.1	15	bronze (2)	6		2.5	0.2		1	2x	-0.2x			15	1		6	
null	Copper	Main	silentgear:copper		Basic, Metal		Soft I*	151	12x			15	1.3	12	copper (1.5)	5		1.5	0.1		1	0.1x	0x			10			8	
null	Invar	Main	silentgear:invar		Intermediate, Metal		Malleable III, Adamant II*	640	20x		15%	13	1.2	50	iron (2)	7		3.5	0		3	2x	0x			18	2		6	
null	White Wool	Main	silentgear:wool/white	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Signalum	Main	silentgear:signalum		Endgame, Metal		Flexible II, Lustrous IV*	800	25x		15%	16	1.2	50	diamond (3)	13		3	0		4	2x	0.2x			16	2		4	
null	Turtle	Main	silentgear:turtle		Organic, Intermediate		Turtle*	0				9	0.5	20															4	
null	Refined Glowstone	Main	silentgear:refined_glowstone		Advanced, Metal		Malleable II, Lustrous IV*	300	18x		15%	18	0.8	45	iron (2)	14		5	0		3	3x	0x			19			8	
null	End Stone	Main	silentgear:end_stone		Basic, Rock		Jagged III*, Ancient II*	1164	15x		-20%	10	0.9	32	end_stone (1)	7		2	0.1		3	0x	0x	1x	80%	15	1		6	
null	Bismuth Steel	Main	silentgear:bismuth_steel		Advanced, Metal		Malleable III, Lustrous II*	1050	25x		-15%	14	1	60	diamond (3)	10		4	-0.1		5	3x	0.1x			20	4		8	
null	Zinc	Main	silentgear:zinc		Basic, Metal		Malleable I, Soft II*	192	10x			15	1.1	10	stone (1)	3		1.5	0		1	0x	0x			10			2	
null	Diorite	Main	silentgear:stone/diorite	Stone	Basic, Rock		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Lime Terracotta	Main	silentgear:terracotta/lime	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Black Terracotta	Main	silentgear:terracotta/black	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Redstone Alloy	Main	silentgear:redstone_alloy		Intermediate, Metal		Malleable III, Eroded III*	840	20x		-15%	18	0.9	45	iron (2)	11		2	0.2		4	1x	0.2x			17	1		8	
null	Blaze Gold	Main	silentgear:blaze_gold		Advanced, Metal		Brilliant*, Greedy III, Malleable III	69	9x			24	1.2	45	blaze_gold (2)	15		2	0.1		5	1x	0.2x	1.2x	90%	13	1		10	
null	Brown Wool	Main	silentgear:wool/brown	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Phantom Membrane	Main	silentgear:phantom_membrane		Organic, Cloth, Intermediate		Renew II*	0	12x			10	0.7	35												6			8	
null	Granite	Main	silentgear:stone/granite	Stone	Basic, Rock		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Black Wool	Main	silentgear:wool/black	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Leaf	Main	silentgear:leaves		Basic, Organic		Flammable, Light I*	0	2x			12	1.1	1												3				
null	Electrum	Main	silentgear:electrum		Intermediate, Metal		Malleable II, Soft II*	96	10x			25	1.5	40	iron (2)	14		2	0.3		5	1x	0.4x			15			11	
null	Andesite	Main	silentgear:stone/andesite	Stone	Basic, Rock		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Example	Main	silentgear:example		Intangible			100	6x			1	1	0	wood (0)	1		1	0		1	0x	0x			4	1		1	
null	Azure Silver	Main	silentgear:azure_silver		Advanced, Metal		Malleable III, Soft II*, Moonwalker IV*	197	17x		50%	29	1.4	83	azure_silver (3)	19		5	0		7	2x	0x	1.2x	110%	13			13	
null	Tin	Main	silentgear:tin		Basic, Metal		Malleable I, Soft II*	192	13x			12	1.1	15	stone (1)	5		1.5	0		1	0.5x	0x			12			2	
null	Cyan Wool	Main	silentgear:wool/cyan	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
